campaign_id,keyword_text,impressions,clicks,order,sales,cpc_fee,costs,conversion,ctr,category_name,listing_id,price,star,review_num,quantity,rank_keyword_text,discount,fetch_time
820992,Adapter,16049,27,3,14.99,0.91,24.57,0.5959431591578981,0.0016,测试路由器,6456262,14.99,4,6,74,15.0,0.6986877769112988,2021-11-19
216054,WiF,10219,14,3,18.99,1.09,15.19,0.8050632848974928,0.0013,router2,859621082,18.99,4,6,56,19.0,0.8450322279724525,2021-11-19
125902,wifi,570,8,3,18.99,1.75,14.0,0.7525557527265536,0.014,wifi Adapter,150661745,18.99,4,6,85,19.0,0.858499077123551,2021-11-19
990944,WiFi,2714,9,5,29.98,1.73,15.61,0.052906571584196184,0.0033,Adapter target,87110874,29.98,1,6,51,30.0,0.8543465340199123,2021-11-19
260917,600M网卡精准词广告5,578,8,3,14.99,2.06,16.49,0.5328597647609397,0.0138,测试路由器,571406384,14.99,3,6,61,15.0,0.8201961351836973,2021-11-19
189311,600兆网卡-精准,5676,50,15,104.93,1.47,73.63,0.6834857784089423,0.0088,Adapter target test,21503169,104.93,1,6,42,105.0,0.6185806153610165,2021-11-19
826276,Mini,3204,8,3,14.99,1.25,9.99,0.6541242549888034,0.0024,logo Adapter,44780476,14.99,1,6,39,15.0,0.5977714136096469,2021-11-19
137797,wifi,11315,96,31,224.85,1.67,160.06,0.5987500161286201,0.0084,WIFI2,19755052,224.85,1,6,68,225.0,0.6445279919298234,2021-11-19
820992,Adapter,27089,87,11,74.95,1.08,93.58,0.5972488942519755,0.0032,auto-dual adapter,6456262,74.95,1,6,21,75.0,0.7844049211213292,2021-11-18
125902,wifi,378,9,3,18.99,1.52,13.64,0.42425077821976853,0.0238,wifi Adapter,150661745,18.99,4,6,91,19.0,0.5896042517316451,2021-11-18
990944,WiFi,2623,17,9,59.96,2.03,34.55,0.7528967491007128,0.0064,Gigabit网卡,87110874,59.96,2,6,53,60.0,0.8319086067907611,2021-11-18
260917,600M网卡精准词广告5,1326,12,3,14.99,2.21,26.47,0.794853331079633,0.009,auto router,571406384,14.99,4,6,29,15.0,0.6906620911558397,2021-11-18
189311,600兆网卡-精准,5622,44,17,119.92,1.61,70.81,0.26459796039295186,0.0078,dual router,21503169,119.92,1,6,53,120.0,0.6087236390726712,2021-11-18
826276,Mini,3080,15,3,14.99,1.18,17.67,0.7705144788316903,0.0048,网卡,44780476,14.99,1,6,93,15.0,0.7685938245421653,2021-11-18
137797,wifi,7155,75,33,239.84,2.03,152.39,0.3897292446475904,0.0104,dual router,19755052,239.84,4,6,52,240.0,0.6968350050757404,2021-11-18
820992,Adapter,19163,97,21,149.9,1.15,111.24,0.05568459573192113,0.005,千兆路由器,6456262,149.9,4,6,93,150.0,0.6248141700490235,2021-11-17
990944,WiFi,1790,18,9,59.96,1.96,35.29,0.2732658023223163,0.01,IPV6 ipv4,87110874,59.96,3,6,32,60.0,0.6848348727562148,2021-11-17
189311,600兆网卡-精准,7361,55,17,119.92,1.49,82.03,0.8949912546941314,0.0074,Gigabit Adapter,21503169,119.92,4,6,90,120.0,0.5458296905368055,2021-11-17
826276,Mini,3201,10,3,14.99,1.55,15.53,0.5817035998448294,0.0031,Adapter target,44780476,14.99,4,6,74,15.0,0.6840614253416709,2021-11-17
137797,wifi,8049,72,35,254.83,2.1,151.13,0.8839948811627591,0.0089,dual router,19755052,254.83,1,6,74,255.0,0.6953576645061919,2021-11-17
820992,Adapter,15361,60,7,44.97,1.08,64.66,0.4564800587013192,0.0039,wifi Adapter,6456262,44.97,1,6,83,45.0,0.8315861045649249,2021-11-16
990944,WiFi,1131,5,3,14.99,2.27,11.35,0.6334396450413684,0.0044,Gigabit Adapter,87110874,14.99,4,6,101,15.0,0.862228557539428,2021-11-16
120492,600M网卡精准计划,1793,2,3,14.99,1.17,2.33,0.3666793969250812,0.0011,wifi Adapter,753666092,14.99,4,6,86,15.0,0.8241814117920263,2021-11-16
189311,600兆网卡-精准,4784,39,21,149.9,1.48,57.59,0.5698400272829449,0.0081,网卡,21503169,149.9,1,6,11,150.0,0.6719272154660568,2021-11-16
